Ad performance report
Aug 10, 2026 - Sep 9, 2026
Campaign,Ad group,Ad ID,Ad state,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2,Path 1,Path 2,Final URL,Impressions,Clicks,CTR,Conversions,Cost,Start date
search - problem,scheduling software,rsa-2110,enabled,your schedule fills itself,scheduling that just works,"no-shows, handled","one login, whole business","your calendar, sorted","book more, chase less",your clients get answered. you get your afternoons back.,"one platform for scheduling, notes, calls, and client messages.",product,demo,https://example.com/product,"21,430","2,269",10.59%,282,"$13,602.43",2026-08-10
search - category,practice management,rsa-2111,enabled,"quiet, reliable booking","your calendar, sorted","less admin, more clients",voicemail is not a system,your evenings back,answer every call,"your bookings confirm and follow up automatically, without anyone chasing them.",built for teams of 2-10 who are doing this by hand today.,product,demo,https://example.com/product,"5,860",211,3.59%,13,"$2,823.01",2026-08-18
search - brand,brand exact,rsa-2112,enabled,"quiet, reliable booking","less admin, more clients",the phone stops winning,"one login, whole business",stop juggling logins,made for teams of 2-10,see how a fully booked week actually runs. book a walkthrough.,"your bookings confirm and follow up automatically, without anyone chasing them.",product,demo,https://example.com/product,"22,810",721,3.16%,43,"$8,884.45",2026-09-05
search - competitor,competitor a alt,rsa-2113,enabled,made for teams of 2-10,scheduling that just works,"one tool, not five tabs",answer every call,"one login, whole business",voicemail is not a system,see how a fully booked week actually runs. book a walkthrough.,stop paying for five tools that each do a third of the job.,product,scheduling,https://example.com/product,"3,332",120,3.59%,6,$608.40,2026-06-06
search - competitor,competitor b alt,rsa-2114,enabled,"no-shows, handled",your evenings back,"book more, chase less",see it in 20 minutes,your schedule fills itself,the phone stops winning,stop paying for five tools that each do a third of the job.,see how a fully booked week actually runs. book a walkthrough.,product,scheduling,https://example.com/product,636,7,1.16%,0,$30.61,2026-09-05
search - problem,missed calls,rsa-2115,enabled,"front desk, handled",calm operations,voicemail is not a system,"less admin, more clients",never miss a booking,"book more, chase less",stop paying for five tools that each do a third of the job.,built for teams of 2-10 who are doing this by hand today.,product,teams,https://example.com/product,"23,785",897,3.77%,46,"$7,866.73",2026-07-11
search - problem,scheduling software,rsa-2116,enabled,"front desk, handled",cancel the spreadsheet,built for small teams,your schedule fills itself,"your calendar, sorted",the phone stops winning,"one platform for scheduling, notes, calls, and client messages.","set up in an afternoon, with your existing calendar and phone number.",product,demo,https://example.com/product,"22,011","1,911",8.68%,278,"$12,530.90",2026-07-11
search - category,practice management,rsa-2117,enabled,made for teams of 2-10,your evenings back,never miss a booking,set up in a day,one place for everything,see it in 20 minutes,built for teams of 2-10 who are doing this by hand today.,see how a fully booked week actually runs. book a walkthrough.,product,demo,https://example.com/product,"3,238",110,3.39%,5,"$1,164.08",2026-08-25
search - brand,brand exact,rsa-2118,enabled,your evenings back,"front desk, handled",calm operations,never miss a booking,set up in a day,your schedule fills itself,built for teams of 2-10 who are doing this by hand today.,"your bookings confirm and follow up automatically, without anyone chasing them.",product,demo,https://example.com/product,"22,812",374,1.64%,7,"$3,741.93",2026-07-26
search - competitor,competitor a alt,rsa-2119,enabled,"no-shows, handled","quiet, reliable booking",every call answered,voicemail is not a system,never miss a booking,scheduling that just works,replace the stack of tools that never quite talk to each other.,"one platform for scheduling, notes, calls, and client messages.",product,scheduling,https://example.com/product,"18,501",823,4.45%,30,"$7,577.30",2026-05-02
search - competitor,competitor b alt,rsa-2120,enabled,calm operations,your schedule fills itself,"front desk, handled","quiet, reliable booking",every call answered,one place for everything,"set up in an afternoon, with your existing calendar and phone number.",stop paying for five tools that each do a third of the job.,product,teams,https://example.com/product,"14,303",528,3.69%,18,"$4,348.02",2026-07-11
search - problem,missed calls,rsa-2121,enabled,your schedule fills itself,the phone stops winning,"no-shows, handled",calm operations,scheduling that just works,one place for everything,"set up in an afternoon, with your existing calendar and phone number.","your bookings confirm and follow up automatically, without anyone chasing them.",product,teams,https://example.com/product,"5,114",54,1.05%,1,$657.84,2026-09-05
search - problem,scheduling software,rsa-2122,enabled,"quiet, reliable booking",built for small teams,see it in 20 minutes,made for teams of 2-10,every call answered,your evenings back,"one platform for scheduling, notes, calls, and client messages.",stop paying for five tools that each do a third of the job.,product,teams,https://example.com/product,"15,840","1,415",8.93%,173,"$14,914.18",2026-09-05
search - category,practice management,rsa-2123,enabled,"one tool, not five tabs",calm operations,never miss a booking,"less admin, more clients",your evenings back,built for small teams,built for teams of 2-10 who are doing this by hand today.,"set up in an afternoon, with your existing calendar and phone number.",product,demo,https://example.com/product,"8,187",79,0.97%,0,$825.88,2026-08-25
search - brand,brand exact,rsa-2124,enabled,your evenings back,never miss a booking,scheduling that just works,voicemail is not a system,"one login, whole business","quiet, reliable booking",see how a fully booked week actually runs. book a walkthrough.,replace the stack of tools that never quite talk to each other.,product,scheduling,https://example.com/product,"4,998",47,0.95%,0,$244.72,2026-03-13
search - competitor,competitor a alt,rsa-2125,enabled,"quiet, reliable booking",never miss a booking,"no-shows, handled",scheduling that just works,calm operations,your schedule fills itself,your clients get answered. you get your afternoons back.,"set up in an afternoon, with your existing calendar and phone number.",product,scheduling,https://example.com/product,"5,294",52,0.99%,0,$252.53,2026-07-26
search - competitor,competitor b alt,rsa-2126,enabled,scheduling that just works,see it in 20 minutes,built for small teams,your schedule fills itself,calm operations,"your calendar, sorted","your bookings confirm and follow up automatically, without anyone chasing them.",replace the stack of tools that never quite talk to each other.,product,scheduling,https://example.com/product,"3,899",167,4.30%,6,"$1,379.04",2026-03-13
search - problem,missed calls,rsa-2127,enabled,"front desk, handled",see it in 20 minutes,never miss a booking,voicemail is not a system,your evenings back,"less admin, more clients","your bookings confirm and follow up automatically, without anyone chasing them.","set up in an afternoon, with your existing calendar and phone number.",product,demo,https://example.com/product,"6,704",242,3.62%,9,"$2,606.51",2026-08-31
search - problem,scheduling software,rsa-2128,enabled,"quiet, reliable booking",made for teams of 2-10,your evenings back,"front desk, handled",one place for everything,see it in 20 minutes,your clients get answered. you get your afternoons back.,stop paying for five tools that each do a third of the job.,product,demo,https://example.com/product,"11,201",839,7.49%,114,"$4,171.35",2026-07-26
search - category,practice management,rsa-2129,enabled,stop juggling logins,every call answered,never miss a booking,"quiet, reliable booking","one tool, not five tabs","front desk, handled",your clients get answered. you get your afternoons back.,"set up in an afternoon, with your existing calendar and phone number.",product,teams,https://example.com/product,"1,507",62,4.09%,4,$697.61,2026-06-06
search - brand,brand exact,rsa-2130,enabled,made for teams of 2-10,your schedule fills itself,your evenings back,never miss a booking,calm operations,scheduling that just works,replace the stack of tools that never quite talk to each other.,built for teams of 2-10 who are doing this by hand today.,product,teams,https://example.com/product,"22,016","1,620",7.36%,215,"$15,373.37",2026-08-25
search - competitor,competitor a alt,rsa-2131,enabled,voicemail is not a system,your evenings back,"your calendar, sorted",stop juggling logins,"no-shows, handled",calm operations,built for teams of 2-10 who are doing this by hand today.,stop paying for five tools that each do a third of the job.,product,scheduling,https://example.com/product,"9,952",154,1.55%,3,"$1,613.78",2026-07-26
search - competitor,competitor b alt,rsa-2132,enabled,your schedule fills itself,never miss a booking,"quiet, reliable booking","one login, whole business",see it in 20 minutes,"book more, chase less",replace the stack of tools that never quite talk to each other.,"one platform for scheduling, notes, calls, and client messages.",product,teams,https://example.com/product,"14,353",196,1.37%,2,"$1,675.66",2026-03-13
search - problem,missed calls,rsa-2133,enabled,scheduling that just works,"quiet, reliable booking",stop juggling logins,set up in a day,cancel the spreadsheet,calm operations,replace the stack of tools that never quite talk to each other.,see how a fully booked week actually runs. book a walkthrough.,product,teams,https://example.com/product,"16,925",162,0.96%,1,"$1,809.68",2026-07-26
search - problem,scheduling software,rsa-2134,enabled,your schedule fills itself,cancel the spreadsheet,scheduling that just works,your evenings back,"one login, whole business",never miss a booking,"set up in an afternoon, with your existing calendar and phone number.",your clients get answered. you get your afternoons back.,product,scheduling,https://example.com/product,"5,631",222,3.94%,12,"$1,048.80",2026-08-10
search - category,practice management,rsa-2135,enabled,never miss a booking,"one login, whole business",calm operations,set up in a day,"quiet, reliable booking",one place for everything,built for teams of 2-10 who are doing this by hand today.,"one platform for scheduling, notes, calls, and client messages.",product,teams,https://example.com/product,"19,644","1,519",7.73%,237,"$8,542.13",2026-07-26
search - brand,brand exact,rsa-2136,enabled,set up in a day,stop juggling logins,"one tool, not five tabs",never miss a booking,"your calendar, sorted",your schedule fills itself,your clients get answered. you get your afternoons back.,built for teams of 2-10 who are doing this by hand today.,product,demo,https://example.com/product,"2,614",29,1.13%,0,$170.67,2026-08-18
search - competitor,competitor a alt,rsa-2137,enabled,"one tool, not five tabs",answer every call,"quiet, reliable booking","front desk, handled",set up in a day,cancel the spreadsheet,replace the stack of tools that never quite talk to each other.,"your bookings confirm and follow up automatically, without anyone chasing them.",product,teams,https://example.com/product,"13,466",910,6.76%,100,"$10,071.05",2026-09-05
search - competitor,competitor b alt,rsa-2138,enabled,stop juggling logins,every call answered,set up in a day,one place for everything,the phone stops winning,scheduling that just works,your clients get answered. you get your afternoons back.,replace the stack of tools that never quite talk to each other.,product,teams,https://example.com/product,"18,809",728,3.87%,37,"$3,706.67",2026-08-25
search - problem,missed calls,rsa-2139,enabled,cancel the spreadsheet,stop juggling logins,answer every call,set up in a day,your evenings back,"your calendar, sorted",see how a fully booked week actually runs. book a walkthrough.,your clients get answered. you get your afternoons back.,product,demo,https://example.com/product,"11,531",81,0.70%,1,$536.37,2026-08-18
search - problem,scheduling software,rsa-2140,enabled,"one tool, not five tabs",every call answered,answer every call,never miss a booking,the phone stops winning,set up in a day,built for teams of 2-10 who are doing this by hand today.,"one platform for scheduling, notes, calls, and client messages.",product,teams,https://example.com/product,"2,112",33,1.55%,1,$427.86,2026-08-25
search - category,practice management,rsa-2141,enabled,"your calendar, sorted",scheduling that just works,"no-shows, handled",built for small teams,answer every call,"one tool, not five tabs","set up in an afternoon, with your existing calendar and phone number.",stop paying for five tools that each do a third of the job.,product,scheduling,https://example.com/product,"17,711",701,3.96%,22,"$7,731.97",2026-08-18
search - brand,brand exact,rsa-2142,enabled,set up in a day,your evenings back,"one login, whole business",calm operations,cancel the spreadsheet,answer every call,see how a fully booked week actually runs. book a walkthrough.,"your bookings confirm and follow up automatically, without anyone chasing them.",product,demo,https://example.com/product,"3,012",19,0.63%,0,$212.68,2026-06-06
search - competitor,competitor a alt,rsa-2143,enabled,"no-shows, handled",the phone stops winning,cancel the spreadsheet,stop juggling logins,scheduling that just works,voicemail is not a system,see how a fully booked week actually runs. book a walkthrough.,stop paying for five tools that each do a third of the job.,product,scheduling,https://example.com/product,"6,542",281,4.29%,9,"$1,606.77",2026-05-02
search - competitor,competitor b alt,rsa-2144,enabled,your schedule fills itself,every call answered,one place for everything,made for teams of 2-10,set up in a day,answer every call,your clients get answered. you get your afternoons back.,built for teams of 2-10 who are doing this by hand today.,product,teams,https://example.com/product,"14,096",128,0.91%,2,"$1,541.47",2026-03-13
Total,,,,,,,,,,,,,,,
